trt;Factor a;factor b;Repeticion;Observacion;Numero de microtuberculos por explante;Formacion de microtuebrculos (si/no);Diametro (mm);Peso fresco (g)
T1;sacarosa_80;kin_1;R1;1;0;0;-;-
T1;sacarosa_80;kin_1;R1;2;0;0;-;-
T1;sacarosa_80;kin_1;R1;3;0;0;-;-
T1;sacarosa_80;kin_1;R1;4;0;0;-;-
T1;sacarosa_80;kin_1;R2;1;0;0;-;-
T1;sacarosa_80;kin_1;R2;2;0;0;-;-
T1;sacarosa_80;kin_1;R2;3;0;0;-;-
T1;sacarosa_80;kin_1;R2;4;0;0;-;-
T2;sacarosa_80;kin_3;R1;1;1;1;6.38;0.2206
T2;sacarosa_80;kin_3;R1;2;2;1;5.16;0.10975
T2;sacarosa_80;kin_3;R1;3;1;1;6.49;0.1981
T2;sacarosa_80;kin_3;R1;4;1;1;7.8;0.2717
T2;sacarosa_80;kin_3;R2;1;1;1;6.39;0.2205
T2;sacarosa_80;kin_3;R2;2;2;1;5.15;0.10974
T2;sacarosa_80;kin_3;R2;3;1;1;6.5;0.198
T2;sacarosa_80;kin_3;R2;4;1;1;7.7;0.2715
T3;sacarosa_80;kin_5;R1;1;2;1;2.935;0.06015
T3;sacarosa_80;kin_5;R1;2;1;1;4.42;0.0661
T3;sacarosa_80;kin_5;R1;3;1;1;7.13;0.249
T3;sacarosa_80;kin_5;R1;4;0;0;0;0
T3;sacarosa_80;kin_5;R2;1;1;1;5.9;0.1216
T3;sacarosa_80;kin_5;R2;2;0;0;0;0
T3;sacarosa_80;kin_5;R2;3;0;0;0;0
T3;sacarosa_80;kin_5;R2;4;0;0;0;0
T4;sacarosa_100;kin_1;R1;1;0;0;0;0
T4;sacarosa_100;kin_1;R1;2;1;1;5.03;0.1024
T4;sacarosa_100;kin_1;R1;3;1;1;4.51;0.0773
T4;sacarosa_100;kin_1;R1;4;0;0;0;0
T4;sacarosa_100;kin_1;R2;1;1;1;5.01;0.0819
T4;sacarosa_100;kin_1;R2;2;0;0;0;0
T4;sacarosa_100;kin_1;R2;3;0;0;0;0
T4;sacarosa_100;kin_1;R2;4;1;1;3.5;0.0353
T5;sacarosa_100;kin_3;R1;1;1;1;3.49;0.0291
T5;sacarosa_100;kin_3;R1;2;0;0;0;0
T5;sacarosa_100;kin_3;R1;3;1;1;4.28;0.0482
T5;sacarosa_100;kin_3;R1;4;1;1;2.34;0.0144
T5;sacarosa_100;kin_3;R2;1;1;1;4.43;0.0539
T5;sacarosa_100;kin_3;R2;2;2;1;4.045;0.06875
T5;sacarosa_100;kin_3;R2;3;1;1;3.39;0.03
T5;sacarosa_100;kin_3;R2;4;1;1;3.93;0.0758
T6;sacarosa_100;kin_5;R1;1;0;0;0;0
T6;sacarosa_100;kin_5;R1;2;1;1;2.55;0.0177
T6;sacarosa_100;kin_5;R1;3;1;1;2.38;0.0118
T6;sacarosa_100;kin_5;R1;4;1;1;2.8;0.0181
T6;sacarosa_100;kin_5;R2;1;1;1;2.24;0.0124
T6;sacarosa_100;kin_5;R2;2;1;1;4.63;0.0655
T6;sacarosa_100;kin_5;R2;3;0;0;0;0
T6;sacarosa_100;kin_5;R2;4;0;0;0;0
T7;sacarosa_120;kin_1;R1;1;0;0;-;-
T7;sacarosa_120;kin_1;R1;2;0;0;-;-
T7;sacarosa_120;kin_1;R1;3;0;0;-;-
T7;sacarosa_120;kin_1;R1;4;0;0;-;-
T7;sacarosa_120;kin_1;R2;1;0;0;-;-
T7;sacarosa_120;kin_1;R2;2;0;0;-;-
T7;sacarosa_120;kin_1;R2;3;0;0;-;-
T7;sacarosa_120;kin_1;R2;4;0;0;-;-
T8;sacarosa_120;kin_3;R1;1;0;0;0;0
T8;sacarosa_120;kin_3;R1;2;1;1;2.13;0.018
T8;sacarosa_120;kin_3;R1;3;1;1;3;0.0259
T8;sacarosa_120;kin_3;R1;4;1;1;4.59;0.0762
T8;sacarosa_120;kin_3;R2;1;1;1;9.49;0.5741
T8;sacarosa_120;kin_3;R2;2;1;1;5.86;0.0747
T8;sacarosa_120;kin_3;R2;3;1;1;6.42;0.1722
T8;sacarosa_120;kin_3;R2;4;0;0;0;0
T9;sacarosa_120;kin_5;R1;1;0;0;0;0
T9;sacarosa_120;kin_5;R1;2;1;1;5.02;0.0929
T9;sacarosa_120;kin_5;R1;3;0;0;0;0
T9;sacarosa_120;kin_5;R1;4;1;1;4.05;0.0574
T9;sacarosa_120;kin_5;R2;1;1;1;3.18;0.0313
T9;sacarosa_120;kin_5;R2;2;1;1;3.43;0.0299
T9;sacarosa_120;kin_5;R2;3;1;1;2.89;0.0214
T9;sacarosa_120;kin_5;R2;4;1;1;3.8;0.0414
